integration,metric_name,metric_type,metric_enabled,metric_description
MongoDB,opcountersrepl.deletePerSecond,Rate,true,The number of replicated delete operations per second.
MongoDB,opcountersrepl.getmorePerSecond,Rate,true,The number of replicated getmore operations per second.
MongoDB,opcountersrepl.insertPerSecond,Rate,true,The number of replicated insert operations per second.
MongoDB,opcountersrepl.queryPerSecond,Rate,true,The total number of replicated queries per second.
MongoDB,opcountersrepl.updatePerSecond,Rate,true,The number of replicated update operations per second.
MongoDB,oplog.logsizemb,Gauge,true,The total size of the oplog.
MongoDB,oplog.timediff,Gauge,true,The Oplog window: difference between the first and last operation in the oplog.
MongoDB,oplog.usedsizemb,Gauge,true,The total amount of space used by the oplog.
MongoDB,replset.health,Gauge,true,The Member health value of the replica set: conveys if the member is up (ie 1) or down (ie 0).
MongoDB,replset.isArbiter,Gauge,true,"1 if the mongod is an arbiter, 0 otherwise"
MongoDB,replset.isHidden,Gauge,true,"1 if the mongod is hidden, 0 otherwise"
MongoDB,replset.isMaster,Gauge,true,"1 if the mongod is the current master, 0 otherwise"
MongoDB,replset.isSecondary,Gauge,true,"1 if the mongod is currently secondary, 0 otherwise"
MongoDB,replset.priority,Gauge,true,The election priority of the mongod
MongoDB,replset.replicationLag,Gauge,true,The Delay between a write operation on the primary and its copy to a secondary.
MongoDB,replset.state,Attribute,true,The State of a replica that reflects its disposition within the set.
MongoDB,replset.voteFraction,Gauge,true,The fraction of votes a server will cast in a replica set election.
MongoDB,replset.votes,Gauge,true,The number of votes a server will cast in a replica set election.
MongoDB,stats.dataInBytes,Gauge,true,The total size of the data held in this database including the padding factor.
MongoDB,stats.indexes,Gauge,true,The total number of indexes across all collections in the database.
MongoDB,stats.indexInBytes,Gauge,true,The total size of all indexes created on this database.
MongoDB,stats.objects,Gauge,true,The number of objects (documents) in the database across all collections.
MongoDB,stats.storageInBytes,Gauge,true,The total amount of space allocated to collections in this database for document storage.
MongoDB,replset.uptimeInMilliseconds,Gauge,true,The number of seconds that the mongos or mongod process has been active.
MongoDB,collection.sizeInBytes,Gauge,true,The The total size in bytes of the data in the collection plus the size of every indexes on the collection.
MongoDB,collection.avgObjSizeInBytes,Gauge,true,The The size of the average object in the collection in bytes.
MongoDB,collection.count,Gauge,true,The total number of objects in the collection.
MongoDB,collection.capped,Gauge,true,The Whether or not the collection is capped.
MongoDB,collection.max,Gauge,true,The maximum number of documents in a capped collection.
MongoDB,collection.maxSizeInBytes,Gauge,true,The maximum size of a capped collection in bytes.
MongoDB,collection.storageSizeInBytes,Gauge,true,The total storage space allocated to this collection for document storage.
MongoDB,collection.nindexes,Gauge,true,The total number of indices on the collection.
MongoDB,collection.indexSizeInBytes,Gauge,true,The size of index in bytes.
MongoDB,collection.indexAccesses,Gauge,true,The number of time the index was used.
MongoDB,usage.commandsPerSecond,Rate,true,The number of commands per second.
MongoDB,usage.commandsInMillisecondsPerSecond,Gauge,true,The total time spent performing commands in milliseconds.
MongoDB,usage.getmorePerSecond,Rate,true,The number of getmore per second.
MongoDB,usage.getmoreInMillisecondsPerSecond,Gauge,true,The total time spent performing getmore in milliseconds.
MongoDB,usage.insertPerSecond,Rate,true,The number of inserts per second.
MongoDB,usage.insertInMillisecondsPerSecond,Gauge,true,The total time spent performing inserts in milliseconds.
MongoDB,usage.queriesPerSecond,Rate,true,The number of queries per second.
MongoDB,usage.queriesInMillisecondsPerSecond,Gauge,true,The total time spent performing queries in milliseconds.
MongoDB,usage.readLockPerSecond,Rate,true,The number of read locks per second.
MongoDB,usage.readLockInMillisecondsPerSecond,Gauge,true,The total time spent performing read locks in milliseconds.
MongoDB,usage.removePerSecond,Rate,true,The number of removes per second.
MongoDB,usage.removeInMillisecondsPerSecond,Gauge,true,The total time spent performing removes in milliseconds.
MongoDB,usage.totalPerSecond,Rate,true,The number of operations per second.
MongoDB,usage.totalInMillisecondsPerSecond,Gauge,true,The total time spent performing operations in milliseconds.
MongoDB,usage.updatePerSecond,Rate,true,The number of updates per second.
MongoDB,usage.updateInMillisecondsPerSecond,Gauge,true,The total time spent performing updates in milliseconds.
MongoDB,usage.writeLockPerSecond,Rate,true,The number of write locks per second.
MongoDB,usage.writeLockInMillisecondsPerSecond,Gauge,true,The total time spent performing write locks in milliseconds.
MongoDB,locks.collectionAcquireExclusive,Gauge,true,The number of times the collection lock type was acquired in the Exclusive (X) mode.
MongoDB,locks.collectionAcquireIntentExclusive,Gauge,true,The number of times the collection lock type was acquired in the Intent Exclusive (IX) mode.
MongoDB,locks.collectionAcquireIntentShared,Gauge,true,The number of times the collection lock type was acquired in the Intent Shared (IS) mode.
MongoDB,locks.collectionAcquireShared,Gauge,true,The number of times the collection lock type was acquired in the Shared (S) mode.
MongoDB,locks.collectionAcquireWaitCountExclusive,Gauge,true,The number of times the collection lock type acquisition in the Exclusive (X) mode encountered waits because the locks were held in a conflicting mode.
MongoDB,locks.collectionAcquireWaitCountShared,Gauge,true,The number of times the collection lock type acquisition in the Shared (S) mode encountered waits because the locks were held in a conflicting mode.
MongoDB,locks.collectionTimeAcquiringMicrosExclusive,Gauge,true,The wait time for the collection lock type acquisitions in the Exclusive (X) mode.
MongoDB,locks.collectionTimeAcquiringMicrosShared,Gauge,true,The wait time for the collection lock type acquisitions in the Shared (S) mode.
MongoDB,locks.databaseAcquireExclusive,Gauge,true,The number of times the database lock type was acquired in the Exclusive (X) mode.
MongoDB,locks.databaseAcquireIntentExclusive,Gauge,true,The number of times the database lock type was acquired in the Intent Exclusive (IX) mode.
MongoDB,locks.databaseAcquireIntentShared,Gauge,true,The number of times the database lock type was acquired in the Intent Shared (IS) mode.
MongoDB,locks.databaseAcquireShared,Gauge,true,The number of times the database lock type was acquired in the Shared (S) mode.
MongoDB,locks.databaseAcquireWaitExclusive,Gauge,true,The number of times the database lock type acquisition in the Exclusive (X) mode encountered waits because the locks were held in a conflicting mode.
MongoDB,locks.databaseAcquireWaitExclusive,Gauge,true,The number of times the database lock type acquisition in the Exclusive (X) mode encountered waits because the locks were held in a conflicting mode.
MongoDB,locks.databaseAcquireWaitIntentExclusive,Gauge,true,The number of times the database lock type acquisition in the Intent Exclusive (IX) mode encountered waits because the locks were held in a conflicting mode.
MongoDB,locks.databaseAcquireWaitIntentShared,Gauge,true,The number of times the database lock type acquisition in the Intent Shared (IS) mode encountered waits because the locks were held in a conflicting mode.
MongoDB,locks.databaseAcquireWaitShared,Gauge,true,The number of times the database lock type acquisition in the Shared (S) mode encountered waits because the locks were held in a conflicting mode.
MongoDB,locks.databaseTimeAcquiringMicrosExclusive,Gauge,true,The wait time for the database lock type acquisitions in the Exclusive (X) mode.
MongoDB,locks.databaseTimeAcquiringMicrosIntentExclusive,Gauge,true,The wait time for the database lock type acquisitions in the Intent Exclusive (IX) mode.
MongoDB,locks.databaseTimeAcquiringMicrosIntentShared,Gauge,true,The wait time for the database lock type acquisitions in the Intent Shared (IS) mode.
MongoDB,locks.databaseTimeAcquiringMicrosShared,Gauge,true,The wait time for the database lock type acquisitions in the Shared (S) mode.
MongoDB,locks.globalAcquireExclusive,Gauge,true,The number of times the global lock type was acquired in the Exclusive (X) mode.
